name,made,att,dewmade,dewatt
Seth Curry,13,25,,
Stephen Curry,173,225,3,4
Buddy Hield,91,125,0,8
Damian Lillard,45,75,3,4
Kyle Korver,14,25,,
Lauri Markkanen,15,25,0,2
Tyler Herro,11,25,1,2
J.J. Redick,28,50,,
Tyrese Haliburton,30,50,2,4
Kevin Huerter,5,25,0,2
Davis Bertans,29,50,2,4
Jayson Tatum,46,75,2,6
Khris Middleton,18,50,,
Luke Kennard,35,50,1,4
Duncan Robinson,12,25,1,2
Trae Young,41,75,2,6
Desmond Bane,12,25,1,2
C.J. McCollum,24,50,,
Joe Harris,49,75,1,2
James Harden,24,50,,
Fred VanVleet,13,25,0,2
Karl-Anthony Towns,35,50,1,4
Danny Green,16,25,,
Eric Gordon,47,75,,
Kyle Lowry,12,25,,
Donovan Mitchell,17,25,0,2
Zach LaVine,45,75,0,6
Devonte' Graham,10,25,1,2
Patty Mills,11,25,2,2
Dirk Nowitzki,41,75,,
Kevin Love,14,25,,
Wesley Matthews,15,25,,
Devin Booker,108,175,3,4
Kemba Walker,12,25,,
Mike Conley,37,50,1,4
Klay Thompson,81,125,,
Marco Belinelli,25,50,,
Julius Randle,10,25,0,2
Jaylen Brown,13,25,1,2
Bradley Beal,15,25,,
Tyrese Maxey,0,0,,
Malik Beasley,0,0,,
Jalen Brunson,0,0,,
