Name,Season,ThreePointers,ThreePointersAttempted,ThreePointersMissed,ThreePointersMadePct
A.J. Hammons,2017.0,5,10,5,0.5
A.J. Lawson,2023.0,10,25,15,0.4
A.J. Lawson,2024.0,12,36,24,0.3333333333333333
A.J. Price,2010.0,60,174,114,0.3448275862068966
A.J. Price,2011.0,48,165,117,0.2909090909090909
A.J. Price,2012.0,26,88,62,0.29545454545454547
A.J. Price,2013.0,70,200,130,0.35
A.J. Price,2014.0,6,22,16,0.2727272727272727
A.J. Price,2015.0,15,57,42,0.2631578947368421
AJ Green,2023.0,44,105,61,0.41904761904761906
AJ Green,2024.0,24,61,37,0.39344262295081966
AJ Griffin,2023.0,101,259,158,0.38996138996138996
AJ Griffin,2024.0,9,33,24,0.2727272727272727
Aaron Brooks,2008.0,36,119,83,0.3025210084033613
Aaron Brooks,2009.0,140,373,233,0.3753351206434316
Aaron Brooks,2010.0,209,525,316,0.3980952380952381
Aaron Brooks,2011.0,70,236,166,0.2966101694915254
Aaron Brooks,2013.0,51,143,92,0.35664335664335667
Aaron Brooks,2014.0,96,248,152,0.3870967741935484
Aaron Brooks,2015.0,129,339,210,0.3805309734513274
Aaron Brooks,2016.0,66,185,119,0.3567567567567568
Aaron Brooks,2017.0,49,130,81,0.3769230769230769
Aaron Brooks,2018.0,11,32,21,0.34375
Aaron Gordon,2015.0,13,48,35,0.2708333333333333
Aaron Gordon,2016.0,42,142,100,0.29577464788732394
Aaron Gordon,2017.0,77,266,189,0.2894736842105263
Aaron Gordon,2018.0,115,342,227,0.3362573099415205
Aaron Gordon,2019.0,129,367,238,0.35149863760217986
Aaron Gordon,2020.0,73,237,164,0.3080168776371308
Aaron Gordon,2021.0,68,199,131,0.3417085427135678
Aaron Gordon,2022.0,90,275,185,0.32727272727272727
Aaron Gordon,2023.0,78,219,141,0.3561643835616438
Aaron Gordon,2024.0,22,75,53,0.29333333333333333
Aaron Gray,2008.0,0,1,1,0.0
Aaron Gray,2009.0,0,1,1,0.0
Aaron Gray,2014.0,0,1,1,0.0
Aaron Harrison,2016.0,3,10,7,0.3
Aaron Harrison,2017.0,0,2,2,0.0
Aaron Harrison,2018.0,9,43,34,0.20930232558139536
Aaron Henry,2022.0,0,1,1,0.0
Aaron Holiday,2019.0,44,129,85,0.34108527131782945
Aaron Holiday,2020.0,91,230,139,0.39565217391304347
Aaron Holiday,2021.0,65,179,114,0.36312849162011174
Aaron Holiday,2022.0,44,110,66,0.4
Aaron Holiday,2023.0,36,88,52,0.4090909090909091
Aaron Holiday,2024.0,50,123,73,0.4065040650406504
