,PlayerID,FirstName,Surname,Height,Weight,DOB
0,1,Antoine,Walker,80,224,8/12/1976
2561,2,Dirk,Nowitzki,84,245,6/19/1978
1,2,Dirk,Nowitzki,84,245,6/19/1978
2,3,Michael,Finley,79,215,3/6/1973
3,4,Steve,Nash,75,195,2/7/1974
4,5,Danny,Fortson,79,260,3/27/1976
5,6,Antawn,Jamison,80,223,6/12/1976
6,7,Tony,Delk,73,189,1/28/1974
7,8,Travis,Best,71,182,7/12/1972
8,9,Eduardo,Najera,80,240,7/11/1976
9,10,Josh,Howard,79,210,4/28/1980
10,11,Shawn,Bradley,90,235,3/22/1972
11,12,Marquis,Daniels,78,200,1/7/1981
12,13,Derek,Fisher,73,200,8/9/1974
13,14,Gary,Payton,76,180,7/23/1968
14,15,Devean,George,80,220,8/29/1977
15,16,Shaquille,O'Neal,85,325,3/6/1972
16,17,Karl,Malone,81,250,7/24/1963
17,18,Bryon,Russell,79,225,12/31/1970
18,19,Horace,Grant,82,215,7/4/1965
19,20,Kareem,Rush,78,215,10/30/1980
20,21,Jannero,Pargo,73,175,10/22/1979
21,22,Luke,Walton,80,235,3/28/1980
22,23,Dwyane,Wade,76,220,1/17/1982
23,24,Eddie,Jones,78,190,10/20/1971
24,25,Brian,Grant,81,254,3/5/1972
25,26,Udonis,Haslem,80,235,6/9/1980
26,27,Lamar,Odom,82,220,11/6/1979
27,28,John,Wallace,80,225,2/9/1974
28,29,Rafer,Alston,74,171,7/24/1976
29,30,Malik,Allen,82,255,6/27/1978
30,31,Samaki,Walker,81,240,2/25/1976
31,32,Loren,Woods,85,245,6/21/1978
32,33,Bimbo,Coles,73,180,4/22/1968
33,34,Allen,Iverson,72,165,6/7/1975
34,35,Derrick,Coleman,82,230,6/21/1967
35,36,Eric,Snow,75,190,4/24/1973
36,37,Kenny,Thomas,79,261,7/25/1977
37,38,John,Salmons,79,210,12/12/1979
38,39,Aaron,McKie,77,209,10/2/1972
39,40,Marc,Jackson,82,270,1/16/1975
40,41,Willie,Green,76,200,7/28/1981
41,42,Amal,McCaskill,83,235,10/28/1973
42,43,Kyle,Korver,79,212,3/17/1981
43,44,Samuel,Dalembert,83,255,5/10/1981
44,45,Stephon,Marbury,74,180,2/20/1977
45,46,Shawn,Marion,79,220,5/7/1978
46,47,Jake,Voskuhl,83,245,11/1/1977
47,48,Joe,Johnson,79,240,6/29/1981
48,49,Amar'e,Stoudemire,82,245,11/16/1982
49,50,Zarko,Cabarkapa,83,235,5/21/1981
50,51,Tom,Gugliotta,82,240,12/19/1969
51,52,Anfernee,Hardaway,79,195,7/18/1971
52,53,Casey,Jacobsen,78,215,3/19/1981
53,54,Brevin,Knight,70,173,11/8/1975
54,55,Cezary,Trybanski,86,240,9/22/1979
55,56,Tim,Duncan,83,250,4/25/1976
56,57,Anthony,Carter,73,190,6/16/1975
57,58,Manu,Ginobili,78,205,7/28/1977
58,59,Bruce,Bowen,79,185,6/14/1971
59,60,Rasho,Nesterovic,84,248,5/30/1976
60,61,Malik,Rose,79,250,11/23/1974
61,62,Ron,Mercer,79,210,5/18/1976
62,63,Hedo,Turkoglu,82,220,3/19/1979
63,64,Robert,Horry,81,220,8/25/1970
64,65,Jerome,Beasley,82,237,5/17/1980
65,66,Paul,Pierce,79,235,10/13/1977
66,67,Mike,James,74,188,6/23/1975
67,68,Vin,Baker,83,232,11/23/1971
68,69,Kedrick,Brown,79,222,3/18/1981
69,70,Mark,Blount,84,230,11/30/1975
70,71,Raef,LaFrentz,83,240,5/29/1976
71,72,Eric,Williams,80,220,7/17/1972
72,73,Tony,Battie,83,230,2/11/1976
73,74,Marcus,Banks,74,200,11/19/1981
74,75,Walter,McCarty,82,230,2/1/1974
75,76,Jiri,Welsch,79,208,1/27/1980
76,77,Gilbert,Arenas,75,191,1/6/1982
